product,console,variant,type,market_price,old_price,new_price,diff,profit,status
All-Star Racing 2 - PS1 Game,Playstation,game only,loose,6.06,5.93,8.99,3.06,2.37,APPLIED
All-Star Racing 2 - PS1 Game,Playstation,complete (cib),cib,6.36,5.93,8.99,3.06,2.07,APPLIED
Alleyway - Gameboy Game,Gameboy,complete (cib),cib,51.98,14.43,70.99,56.56,16.65,APPLIED
Allied General - PS1 Game,Playstation,game only,loose,8.79,18.92,11.99,-6.93,2.55,APPLIED
Allied General - PS1 Game,Playstation,complete (cib),cib,15.31,18.92,20.99,2.07,4.77,APPLIED
Alone in the Dark - PS2 Game,Playstation 2,game only,loose,9.69,7.99,13.99,6.00,3.59,APPLIED
Alone in the Dark - PS2 Game,Playstation 2,complete (cib),cib,12.00,11.99,16.99,5.00,4.20,APPLIED
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,,,,,,,,NO_MATCH
Alone In The Dark The New Nightmare - PS1 Game,Playstation,game only,loose,19.99,44.99,26.99,-18.00,5.92,APPLIED
Alone In The Dark The New Nightmare - PS1 Game,Playstation,complete (cib),cib,41.75,41.61,56.99,15.38,13.29,APPLIED
Alter Echo - PS2 Game,Playstation 2,complete (cib),cib,12.23,15.99,16.99,1.00,3.97,APPLIED
Altered Beast Guardian of the Realms - GBA Game,Gameboy Advance,complete (cib),cib,80.99,26.11,109.99,83.88,25.51,APPLIED
Altered Space - Gameboy Game,Gameboy,complete (cib),cib,147.43,21.55,199.99,178.44,46.46,APPLIED
Alundra 2 - PS1 Game,Playstation,game only,loose,15.49,33.63,20.99,-12.64,4.59,APPLIED
Alundra 2 - PS1 Game,Playstation,complete (cib),cib,39.95,33.63,53.99,20.36,12.17,APPLIED
Alvin And The Chipmunks The Game - PS2 Game,Playstation 2,,,,,,,,NO_MATCH
Alvin And The Chipmunks The Game - Wii Game,Wii,,,,,,,,NO_MATCH
Amazing Spiderman - Gameboy Game,Gameboy,complete (cib),cib,58.00,18.13,78.99,60.86,18.40,APPLIED
American Chopper - PS2 Game,Playstation 2,game only,loose,3.40,5.99,4.99,-1.00,1.15,APPLIED
American Chopper - PS2 Game,Playstation 2,complete (cib),cib,7.00,5.99,9.99,4.00,2.40,APPLIED
American Chopper 2 Full Throttle - PS2 Game,Playstation 2,game only,loose,4.38,6.99,5.99,-1.00,1.14,APPLIED
American Chopper 2 Full Throttle - PS2 Game,Playstation 2,complete (cib),cib,5.35,6.00,7.99,1.99,2.11,APPLIED
American Chopper 2 Full Throttle - Xbox Game,Xbox,game only,loose,3.35,6.99,4.99,-2.00,1.20,APPLIED
American Dragon Jake Long Rise of the Huntsclan - GBA Game,Gameboy Advance,,,,,,,,NO_MATCH
American Gladiators - NES Game,NES,,,,,,,,NO_MATCH
American Mensa Academy - Wii Game,Wii,,,,,,,,NO_MATCH
