id	custom_label_0	custom_label_2
shopify_ZZ_7956607238178_43794759876642	under_20	game
shopify_ZZ_7956607238178_43794679988258	under_20	game
shopify_ZZ_7956607270946_43794759909410	under_20	game
shopify_ZZ_7956607270946_43794679889954	under_20	game
shopify_ZZ_7956607303714_43794759942178	under_20	game
shopify_ZZ_7956607303714_43794679857186	under_20	game
shopify_ZZ_7956607336482_43794759974946	under_20	game
shopify_ZZ_7956607336482_43794679824418	under_20	game
shopify_ZZ_7956607369250_43794760007714	over_50	game
shopify_ZZ_7956607369250_43794679791650	over_50	game
shopify_ZZ_7956607402018_43794760073250	under_20	game
shopify_ZZ_7956607402018_43794679758882	under_20	game
shopify_ZZ_7956607434786_43794760106018	under_20	game
shopify_ZZ_7956607434786_43794679726114	under_20	game
shopify_ZZ_7956607467554_43794760171554	under_20	game
shopify_ZZ_7956607467554_43794679693346	under_20	game
shopify_ZZ_7956607500322_43794760138786	under_20	game
shopify_ZZ_7956607500322_43794679660578	under_20	game
shopify_ZZ_7956607533090_43794760204322	under_20	game
shopify_ZZ_7956607533090_43794679627810	under_20	game
shopify_ZZ_7956607565858_43794760237090	under_20	game
shopify_ZZ_7956607565858_43794679595042	under_20	game
shopify_ZZ_7956607598626_43794760400930	20_to_50	game
shopify_ZZ_7956607598626_43794679562274	20_to_50	game
shopify_ZZ_7956607631394_43794760269858	over_50	game
shopify_ZZ_7956607631394_43794679529506	over_50	game
shopify_ZZ_7956607664162_43794760302626	over_50	game
shopify_ZZ_7956607664162_43794679496738	over_50	game
shopify_ZZ_7956607696930_43794760335394	under_20	game
